epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.834,1.01915,2.60483,1.42602,0.41054,0.27778,0.0806,0.04801,4.52154,3.51662,6.01488,0.000332399,0.000332399,0.000332399
2,1097.8,0.46474,1.23426,1.07386,0.40168,0.24631,0.0808,0.05275,4.51092,3.13515,5.90809,0.000446153,0.000446153,0.000446153
3,1597.02,0.38642,0.96141,1.02541,0.49126,0.24409,0.14584,0.1041,4.49497,3.0596,6.0641,0.00022678,0.00022678,0.00022678
